Dish_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Portion_Unit,Calories_Portion
hot tea (garam chai),16.144298553466797,0.3878859877586365,0.5320665240287781,2.5819475650787354,tea cup,33.98374938964844
instant coffee,23.155832290649414,0.640666663646698,0.746666669845581,3.6533334255218506,tea cup,104.20124816894531
espreso coffee,51.543373107910156,1.7470030784606934,2.1381702423095703,6.620504856109619,tea cup,81.69625091552734
iced tea,10.342187881469727,0.027968749403953552,0.010937499813735485,2.7015624046325684,tall glass,33.095001220703125
raw mango drink (aam panna),35.91822052001953,0.15703445672988892,0.026340782642364502,9.047467231750488,tall glass,96.44041442871094
fruit punch (with fresh juices),36.116844177246094,0.13934893906116486,0.03250204399228096,9.38059139251709,tall glass,196.59661865234375
fruit punch (with squashes),23.12828254699707,0.0723448097705841,0.016838526353240013,5.989855766296387,tall glass,116.2970962524414
lemonade,20.798982620239258,0.034817468374967575,0.010450966656208038,5.478568077087402,glass,72.64044952392578
lem-o-gin,21.517364501953125,0.08075683563947678,0.028100909665226936,5.551969051361084,glass,76.76319885253906
cumin infused water (jeere/zeere ka pani),9.08980655670166,0.16951678693294525,0.1104905903339386,1.8643821477890015,glass,30.803081512451172
coco pine cooler,32.74876022338867,0.5550532341003418,0.9999814629554749,5.717686176300049,tall glass,141.54014587402344
summer cooler,22.428831100463867,0.37390369176864624,0.03540007397532463,5.431630611419678,tall glass,110.94645690917969
hot cocoa,90.0999984741211,3.3628273010253906,4.562827110290527,9.234031677246094,cup,172.09100341796875
cold coffee with ice cream,67.8487548828125,1.5701491832733154,2.109452724456787,11.244776725769043,tall glass,204.56399536132812
banana milkshake (kele milkshake),65.30644989013672,1.8432996273040771,2.371230125427246,9.145586013793945,tall glass,225.6337890625
mango milkshake (aam milkshake),56.901123046875,1.7267510890960693,2.345879077911377,7.231504917144775,tall glass,202.2834930419922
pineapple milkshake (ananas milkshake),55.71769332885742,1.65925931930542,2.228806734085083,7.624691486358643,tall glass,203.09100341796875
